instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
50,2/19/2011,1,0,2,0,6,0,1,14,14,0.187917,0.507463,532,1103,18.64
51,2/20/2011,1,0,2,0,0,0,1,14,14,0.407826,0.223235,639,1173,18.64
52,2/21/2011,1,0,2,1,1,0,2,14,14,0.605,0.307846,195,912,18.64
53,2/22/2011,1,0,2,0,2,1,1,14,14,0.577778,0.195683,74,1376,18.64
54,2/23/2011,1,0,2,0,3,1,1,14,14,0.423043,0.094113,139,1778,18.64
55,2/24/2011,1,0,2,0,4,1,2,14,14,0.697391,0.250496,100,1707,18.64
56,2/25/2011,1,0,2,0,5,1,2,14,14,0.712174,0.346539,120,1341,18.64
57,2/26/2011,1,0,2,0,6,0,1,14,14,0.537917,0.186571,424,1545,18.64
58,2/27/2011,1,0,2,0,0,0,1,14,14,0.68,0.125248,694,1708,18.64
59,2/28/2011,1,0,2,0,1,1,2,14,14,0.876364,0.289686,81,1365,18.64
60,3/1/2011,1,0,3,0,2,1,1,14,14,0.535,0.216425,137,1714,18.64
61,3/2/2011,1,0,3,0,3,1,1,14,14,0.449583,0.307833,231,1903,18.64
62,3/3/2011,1,0,3,0,4,1,1,14,14,0.318333,0.225754,123,1562,18.64
63,3/4/2011,1,0,3,0,5,1,2,14,14,0.610417,0.203346,214,1730,18.64
64,3/5/2011,1,0,3,0,6,0,2,14,14,0.789167,0.251871,640,1437,18.64
65,3/6/2011,1,0,3,0,0,0,2,14,14,0.948261,0.343287,114,491,18.64
66,3/7/2011,1,0,3,0,1,1,1,14,14,0.551304,0.341352,244,1628,18.64
67,3/8/2011,1,0,3,0,2,1,1,14,14,0.420833,0.12065,316,1817,18.64
68,3/9/2011,1,0,3,0,3,1,2,14,14,0.775417,0.22015,191,1700,18.64
69,3/10/2011,1,0,3,0,4,1,3,14,14,0,0.261877,46,577,18.64
70,3/11/2011,1,0,3,0,5,1,2,14,14,0.649565,0.23297,247,1730,18.64
71,3/12/2011,1,0,3,0,6,0,1,14,14,0.594583,0.220775,724,1408,18.64
72,3/13/2011,1,0,3,0,0,0,1,14,14,0.527391,0.270604,982,1435,18.64
73,3/14/2011,1,0,3,0,1,1,1,14,14,0.496957,0.136926,359,1687,18.64
74,3/15/2011,1,0,3,0,2,1,2,14,14,0.655652,0.184309,289,1767,18.64
75,3/16/2011,1,0,3,0,3,1,2,14,14,0.776522,0.203117,321,1871,18.64
76,3/17/2011,1,0,3,0,4,1,1,14,14,0.602917,0.209579,424,2320,18.64
77,3/18/2011,1,0,3,0,5,1,1,14,14,0.525217,0.231017,884,2355,18.64
78,3/19/2011,1,0,3,0,6,0,1,14,14,0.379167,0.368167,1424,1693,18.64
79,3/20/2011,1,0,3,0,0,0,1,14,14,0.47375,0.207721,1047,1424,18.64
80,3/21/2011,2,0,3,0,1,1,2,14,14,0.737391,0.288783,401,1676,18.64
81,3/22/2011,2,0,3,0,2,1,1,14,14,0.624583,0.22575,460,2243,18.64
82,3/23/2011,2,0,3,0,3,1,2,14,14,0.839565,0.234261,203,1918,18.64
83,3/24/2011,2,0,3,0,4,1,2,14,14,0.805833,0.243787,166,1699,18.64
84,3/25/2011,2,0,3,0,5,1,1,14,14,0.495,0.230725,300,1910,18.64
85,3/26/2011,2,0,3,0,6,0,1,14,14,0.394167,0.209571,981,1515,18.64
86,3/27/2011,2,0,3,0,0,0,2,14,14,0.493913,0.1843,472,1221,18.64
87,3/28/2011,2,0,3,0,1,1,1,14,14,0.302174,0.212204,222,1806,18.64
88,3/29/2011,2,0,3,0,2,1,1,14,14,0.314167,0.226996,317,2108,18.64
89,3/30/2011,2,0,3,0,3,1,2,14,14,0.646667,0.172888,168,1368,18.64
90,3/31/2011,2,0,3,0,4,1,3,14,14,0.918333,0.217646,179,1506,18.64
91,4/1/2011,2,0,4,0,5,1,2,14,14,0.68625,0.258708,307,1920,18.64
92,4/2/2011,2,0,4,0,6,0,2,14,14,0.65375,0.197146,898,1354,18.64
93,4/3/2011,2,0,4,0,0,0,1,14,14,0.48,0.182213,1651,1598,18.64
94,4/4/2011,2,0,4,0,1,1,1,14,14,0.42625,0.385571,734,2381,18.64
95,4/5/2011,2,0,4,0,2,1,2,14,14,0.642083,0.388067,167,1628,18.64
96,4/6/2011,2,0,4,0,3,1,1,14,14,0.470833,0.263063,413,2395,18.64
97,4/7/2011,2,0,4,0,4,1,1,14,14,0.602917,0.162312,571,2570,18.64
98,4/8/2011,2,0,4,0,5,1,2,14,14,0.83625,0.226992,172,1299,18.64
99,4/9/2011,2,0,4,0,6,0,2,14,14,0.8775,0.133083,879,1576,18.64
100,4/10/2011,2,0,4,0,0,0,2,14,14,0.8575,0.146767,1188,1707,18.64
101,4/11/2011,2,0,4,0,1,1,2,14,14,0.716956,0.324474,855,2493,18.64
102,4/12/2011,2,0,4,0,2,1,2,14,14,0.739167,0.274879,257,1777,18.64
103,4/13/2011,2,0,4,0,3,1,2,14,14,0.819167,0.250617,209,1953,18.64
104,4/14/2011,2,0,4,0,4,1,1,14,14,0.540417,0.1107,529,2738,18.64
105,4/15/2011,2,0,4,1,5,0,1,14,14,0.67125,0.226375,642,2484,18.64
106,4/16/2011,2,0,4,0,6,0,3,14,14,0.888333,0.340808,121,674,18.64
107,4/17/2011,2,0,4,0,0,0,1,14,14,0.479583,0.303496,1558,2186,18.64
108,4/18/2011,2,0,4,0,1,1,1,14,14,0.5425,0.163567,669,2760,18.64
109,4/19/2011,2,0,4,0,2,1,2,14,14,0.665833,0.157971,409,2795,18.64
110,4/20/2011,2,0,4,0,3,1,1,14,14,0.614167,0.241925,613,3331,18.64
111,4/21/2011,2,0,4,0,4,1,1,14,14,0.407083,0.325258,745,3444,18.64
112,4/22/2011,2,0,4,0,5,1,2,14,14,0.729583,0.219521,177,1506,18.64
113,4/23/2011,2,0,4,0,6,0,2,14,14,0.887917,0.230725,1462,2574,18.64
114,4/24/2011,2,0,4,0,0,0,2,14,14,0.810833,0.192175,1710,2481,18.64
115,4/25/2011,2,0,4,0,1,1,1,14,14,0.776667,0.185333,773,3300,18.64
116,4/26/2011,2,0,4,0,2,1,1,14,14,0.729167,0.3265,678,3722,18.64
117,4/27/2011,2,0,4,0,3,1,2,14,14,0.835417,0.3122,547,3325,18.64
118,4/28/2011,2,0,4,0,4,1,2,14,14,0.700833,0.320908,569,3489,18.64
119,4/29/2011,2,0,4,0,5,1,1,14,14,0.457083,0.240063,878,3717,18.64
120,4/30/2011,2,0,4,0,6,0,1,14,14,0.503333,0.235075,1965,3347,18.64
121,5/1/2011,2,0,5,0,0,0,2,14,14,0.762083,0.106354,1138,2213,18.64
122,5/2/2011,2,0,5,0,1,1,2,14,14,0.73,0.183454,847,3554,18.64
123,5/3/2011,2,0,5,0,2,1,2,14,14,0.697083,0.342667,603,3848,18.64
124,5/4/2011,2,0,5,0,3,1,2,14,14,0.737083,0.328996,255,2378,18.64
125,5/5/2011,2,0,5,0,4,1,1,14,14,0.444167,0.295392,614,3819,18.64
126,5/6/2011,2,0,5,0,5,1,1,14,14,0.59,0.228246,894,3714,18.64
127,5/7/2011,2,0,5,0,6,0,1,14,14,0.54125,0.16045,1612,3102,18.64
128,5/8/2011,2,0,5,0,0,0,1,14,14,0.631667,0.0746375,1401,2932,18.64
129,5/9/2011,2,0,5,0,1,1,1,14,14,0.58875,0.176,664,3698,18.64
130,5/10/2011,2,0,5,0,2,1,1,14,14,0.489167,0.115671,694,4109,18.64
131,5/11/2011,2,0,5,0,3,1,1,14,14,0.632917,0.120642,550,3632,18.64
132,5/12/2011,2,0,5,0,4,1,1,14,14,0.7475,0.189667,695,4169,18.64
133,5/13/2011,2,0,5,0,5,1,2,14,14,0.863333,0.179725,692,3413,18.64
134,5/14/2011,2,0,5,0,6,0,2,14,14,0.9225,0.13495,902,2507,18.64
135,5/15/2011,2,0,5,0,0,0,2,14,14,0.867083,0.152979,1582,2971,18.64
136,5/16/2011,2,0,5,0,1,1,1,14,14,0.787917,0.126871,773,3185,18.64
137,5/17/2011,2,0,5,0,2,1,2,14,14,0.837917,0.277354,678,3445,18.64
138,5/18/2011,2,0,5,0,3,1,2,14,14,0.87,0.201492,536,3319,18.64
139,5/19/2011,2,0,5,0,4,1,2,14,14,0.829583,0.108213,735,3840,18.64
140,5/20/2011,2,0,5,0,5,1,1,14,14,0.719583,0.125013,909,4008,18.64
141,5/21/2011,2,0,5,0,6,0,1,14,14,0.626667,0.12065,2258,3547,18.64
142,5/22/2011,2,0,5,0,0,0,1,14,14,0.749583,0.148008,1576,3084,18.64
143,5/23/2011,2,0,5,0,1,1,2,14,14,0.81,0.233842,836,3438,18.64
144,5/24/2011,2,0,5,0,2,1,2,14,14,0.740833,0.207092,659,3833,18.64
145,5/25/2011,2,0,5,0,3,1,1,14,14,0.69625,0.154233,740,4238,18.64
146,5/26/2011,2,0,5,0,4,1,1,14,14,0.6775,0.199642,758,3919,18.64
147,5/27/2011,2,0,5,0,5,1,1,14,14,0.65375,0.240679,871,3808,18.64
148,5/28/2011,2,0,5,0,6,0,1,14,14,0.729583,0.230092,2001,2757,18.64
149,5/29/2011,2,0,5,0,0,0,1,14,14,0.81875,0.213938,2355,2433,18.64
150,5/30/2011,2,0,5,1,1,0,1,14,14,0.685,0.131225,1549,2549,18.64
151,5/31/2011,2,0,5,0,2,1,1,14,14,0.636667,0.111329,673,3309,18.64
152,6/1/2011,2,0,6,0,3,1,2,14,14,0.677083,0.207092,513,3461,18.64
153,6/2/2011,2,0,6,0,4,1,1,14,14,0.305,0.292287,736,4232,18.64
154,6/3/2011,2,0,6,0,5,1,1,14,14,0.354167,0.253121,898,4414,18.64
155,6/4/2011,2,0,6,0,6,0,1,14,14,0.45625,0.123142,1869,3473,18.64
156,6/5/2011,2,0,6,0,0,0,2,14,14,0.6525,0.138692,1685,3221,18.64
157,6/6/2011,2,0,6,0,1,1,1,14,14,0.6,0.121896,673,3875,18.64
158,6/7/2011,2,0,6,0,2,1,1,14,14,0.597917,0.187808,763,4070,18.64
159,6/8/2011,2,0,6,0,3,1,1,14,14,0.622083,0.136817,676,3725,18.64
160,6/9/2011,2,0,6,0,4,1,2,14,14,0.568333,0.149883,563,3352,18.64
161,6/10/2011,2,0,6,0,5,1,1,14,14,0.605,0.140554,815,3771,18.64
162,6/11/2011,2,0,6,0,6,0,1,14,14,0.654583,0.15485,1729,3237,18.64
163,6/12/2011,2,0,6,0,0,0,1,14,14,0.747917,0.163567,1467,2993,18.64
164,6/13/2011,2,0,6,0,1,1,1,14,14,0.494583,0.30535,863,4157,18.64
165,6/14/2011,2,0,6,0,2,1,1,14,14,0.507083,0.269283,727,4164,18.64
166,6/15/2011,2,0,6,0,3,1,1,14,14,0.471667,0.167912,769,4411,18.64
167,6/16/2011,2,0,6,0,4,1,2,14,14,0.688333,0.206471,545,3222,18.64
168,6/17/2011,2,0,6,0,5,1,1,14,14,0.735833,0.143029,863,3981,18.64
169,6/18/2011,2,0,6,0,6,0,1,14,14,0.670417,0.119408,1807,3312,18.64
170,6/19/2011,2,0,6,0,0,0,2,14,14,0.666667,0.102,1639,3105,18.64
171,6/20/2011,2,0,6,0,1,1,2,14,14,0.74625,0.155475,699,3311,18.64
172,6/21/2011,3,0,6,0,2,1,2,14,14,0.770417,0.171025,774,4061,18.64
173,6/22/2011,3,0,6,0,3,1,1,14,14,0.7075,0.172262,661,3846,18.64
174,6/23/2011,3,0,6,0,4,1,2,14,14,0.703333,0.238804,746,4044,18.64
175,6/24/2011,3,0,6,0,5,1,1,14,14,0.573333,0.222025,969,4022,18.64
176,6/25/2011,3,0,6,0,6,0,1,14,14,0.483333,0.209571,1782,3420,18.64
177,6/26/2011,3,0,6,0,0,0,1,14,14,0.513333,0.0945333,1920,3385,18.64
178,6/27/2011,3,0,6,0,1,1,2,14,14,0.658333,0.107588,854,3854,18.64
179,6/28/2011,3,0,6,0,2,1,1,14,14,0.634167,0.144283,732,3916,18.64
180,6/29/2011,3,0,6,0,3,1,1,14,14,0.497917,0.261821,848,4377,18.64
181,6/30/2011,3,0,6,0,4,1,1,14,14,0.434167,0.185312,1027,4488,18.64
182,7/1/2011,3,0,7,0,5,1,1,14,14,0.39625,0.102608,1246,4116,18.64
183,7/2/2011,3,0,7,0,6,0,1,14,14,0.444583,0.115062,2204,2915,18.64
184,7/3/2011,3,0,7,0,0,0,2,14,14,0.6825,0.228858,2282,2367,18.64
185,7/4/2011,3,0,7,1,1,0,2,14,14,0.637917,0.0814792,3065,2978,18.64
186,7/5/2011,3,0,7,0,2,1,1,14,14,0.590417,0.126258,1031,3634,18.64
187,7/6/2011,3,0,7,0,3,1,1,14,14,0.743333,0.149883,784,3845,18.64
188,7/7/2011,3,0,7,0,4,1,1,14,14,0.65125,0.1592,754,3838,18.64
189,7/8/2011,3,0,7,0,5,1,2,14,14,0.757917,0.225129,692,3348,18.64
190,7/9/2011,3,0,7,0,6,0,1,14,14,0.609167,0.167912,1988,3348,18.64
191,7/10/2011,3,0,7,0,0,0,1,14,14,0.578333,0.183471,1743,3138,18.64
192,7/11/2011,3,0,7,0,1,1,1,14,14,0.635833,0.282337,723,3363,18.64
193,7/12/2011,3,0,7,0,2,1,1,14,14,0.559167,0.200254,662,3596,18.64
194,7/13/2011,3,0,7,0,3,1,1,14,14,0.631667,0.146133,748,3594,18.64
195,7/14/2011,3,0,7,0,4,1,1,14,14,0.47625,0.240667,888,4196,18.64
196,7/15/2011,3,0,7,0,5,1,1,14,14,0.59125,0.182833,1318,4220,18.64
197,7/16/2011,3,0,7,0,6,0,1,14,14,0.585,0.208342,2418,3505,18.64
198,7/17/2011,3,0,7,0,0,0,1,14,14,0.604167,0.245033,2006,3296,18.64
199,7/18/2011,3,0,7,0,1,1,1,14,14,0.65125,0.215804,841,3617,18.64
200,7/19/2011,3,0,7,0,2,1,1,14,14,0.650417,0.1306,752,3789,18.64
201,7/20/2011,3,0,7,0,3,1,1,14,14,0.707083,0.113817,644,3688,18.64
202,7/21/2011,3,0,7,0,4,1,2,14,14,0.69125,0.222021,632,3152,18.64
203,7/22/2011,3,0,7,0,5,1,1,14,14,0.580417,0.1331,562,2825,18.64
204,7/23/2011,3,0,7,0,6,0,1,14,14,0.5,0.131221,987,2298,18.64
205,7/24/2011,3,0,7,0,0,0,1,14,14,0.550833,0.169171,1050,2556,18.64
206,7/25/2011,3,0,7,0,1,1,1,14,14,0.757083,0.0908083,568,3272,18.64
207,7/26/2011,3,0,7,0,2,1,1,14,14,0.540833,0.200258,750,3840,18.64
208,7/27/2011,3,0,7,0,3,1,1,14,14,0.402917,0.183463,755,3901,18.64
209,7/28/2011,3,0,7,0,4,1,1,14,14,0.583333,0.178479,606,3784,18.64
210,7/29/2011,3,0,7,0,5,1,1,14,14,0.5425,0.174138,670,3176,18.64
211,7/30/2011,3,0,7,0,6,0,1,14,14,0.465833,0.168537,1559,2916,18.64
212,7/31/2011,3,0,7,0,0,0,1,14,14,0.480833,0.164813,1524,2778,18.64
213,8/1/2011,3,0,8,0,1,1,1,14,14,0.550833,0.156717,729,3537,18.64
214,8/2/2011,3,0,8,0,2,1,1,14,14,0.49125,0.20585,801,4044,18.64
215,8/3/2011,3,0,8,0,3,1,2,14,14,0.6575,0.135583,467,3107,18.64
216,8/4/2011,3,0,8,0,4,1,2,14,14,0.7575,0.19715,799,3777,18.64
217,8/5/2011,3,0,8,0,5,1,1,14,14,0.630833,0.184696,1023,3843,18.64
218,8/6/2011,3,0,8,0,6,0,2,14,14,0.755,0.22825,1521,2773,18.64
219,8/7/2011,3,0,8,0,0,0,1,14,14,0.752917,0.201487,1298,2487,18.64
220,8/8/2011,3,0,8,0,1,1,1,14,14,0.592083,0.192175,846,3480,18.64
221,8/9/2011,3,0,8,0,2,1,1,14,14,0.570417,0.151121,907,3695,18.64
222,8/10/2011,3,0,8,0,3,1,1,14,14,0.424167,0.200258,884,3896,18.64
223,8/11/2011,3,0,8,0,4,1,1,14,14,0.42375,0.164796,812,3980,18.64
224,8/12/2011,3,0,8,0,5,1,1,14,14,0.415,0.125621,1051,3854,18.64
225,8/13/2011,3,0,8,0,6,0,2,14,14,0.729583,0.211454,1504,2646,18.64
226,8/14/2011,3,0,8,0,0,0,2,14,14,0.8175,0.222633,1338,2482,18.64
227,8/15/2011,3,0,8,0,1,1,1,14,14,0.712083,0.208954,775,3563,18.64
228,8/16/2011,3,0,8,0,2,1,1,14,14,0.578333,0.236329,721,4004,18.64
229,8/17/2011,3,0,8,0,3,1,1,14,14,0.575417,0.143667,668,4026,18.64
230,8/18/2011,3,0,8,0,4,1,1,14,14,0.654583,0.233208,639,3166,18.64
231,8/19/2011,3,0,8,0,5,1,2,14,14,0.722917,0.139308,797,3356,18.64
232,8/20/2011,3,0,8,0,6,0,1,14,14,0.674167,0.104467,1914,3277,18.64
233,8/21/2011,3,0,8,0,0,0,1,14,14,0.77,0.248754,1249,2624,18.64
234,8/22/2011,3,0,8,0,1,1,1,14,14,0.47,0.27675,833,3925,18.64
235,8/23/2011,3,0,8,0,2,1,1,14,14,0.455417,0.146763,1281,4614,18.64
236,8/24/2011,3,0,8,0,3,1,1,14,14,0.605,0.253108,949,4181,18.64
237,8/25/2011,3,0,8,0,4,1,2,14,14,0.771667,0.210833,435,3107,18.64
238,8/26/2011,3,0,8,0,5,1,1,14,14,0.76125,0.0839625,768,3893,18.64
239,8/27/2011,3,0,8,0,6,0,2,14,14,0.85,0.375617,226,889,18.64
240,8/28/2011,3,0,8,0,0,0,1,14,14,0.561765,0.304659,1415,2919,18.64
241,8/29/2011,3,0,8,0,1,1,1,14,14,0.554583,0.159825,729,3905,18.64
242,8/30/2011,3,0,8,0,2,1,1,14,14,0.548333,0.125008,775,4429,18.64
243,8/31/2011,3,0,8,0,3,1,1,14,14,0.597917,0.0833333,688,4370,18.64
244,9/1/2011,3,0,9,0,4,1,1,14,14,0.639167,0.141796,783,4332,18.64
245,9/2/2011,3,0,9,0,5,1,2,14,14,0.727083,0.139929,875,3852,18.64
246,9/3/2011,3,0,9,0,6,0,1,14,14,0.716667,0.185325,1935,2549,18.64
247,9/4/2011,3,0,9,0,0,0,1,14,14,0.742083,0.206467,2521,2419,18.64
248,9/5/2011,3,0,9,1,1,0,2,14,14,0.790417,0.212696,1236,2115,18.64
249,9/6/2011,3,0,9,0,2,1,3,14,14,0.886957,0.343943,204,2506,18.64
250,9/7/2011,3,0,9,0,3,1,3,14,14,0.917083,0.0970208,118,1878,18.64
251,9/8/2011,3,0,9,0,4,1,3,14,14,0.939565,0.192748,153,1689,18.64
252,9/9/2011,3,0,9,0,5,1,2,14,14,0.897917,0.124379,417,3127,18.64
253,9/10/2011,3,0,9,0,6,0,1,14,14,0.75375,0.153608,1750,3595,18.64
254,9/11/2011,3,0,9,0,0,0,1,14,14,0.71375,0.115054,1633,3413,18.64
255,9/12/2011,3,0,9,0,1,1,1,14,14,0.692174,0.088913,690,4023,18.64
256,9/13/2011,3,0,9,0,2,1,1,14,14,0.7125,0.141804,701,4062,18.64
257,9/14/2011,3,0,9,0,3,1,1,14,14,0.697083,0.1673,647,4138,18.64
258,9/15/2011,3,0,9,0,4,1,2,14,14,0.709167,0.271146,428,3231,18.64
259,9/16/2011,3,0,9,0,5,1,2,14,14,0.590417,0.164183,742,4018,18.64
260,9/17/2011,3,0,9,0,6,0,2,14,14,0.718333,0.189675,1434,3077,18.64
261,9/18/2011,3,0,9,0,0,0,1,14,14,0.695,0.178483,1353,2921,18.64
262,9/19/2011,3,0,9,0,1,1,2,14,14,0.69,0.151742,691,3848,18.64
263,9/20/2011,3,0,9,0,2,1,2,14,14,0.88125,0.134954,438,3203,18.64
264,9/21/2011,3,0,9,0,3,1,2,14,14,0.9,0.0964042,539,3813,18.64
265,9/22/2011,3,0,9,0,4,1,2,14,14,0.902083,0.128125,555,4240,18.64
266,9/23/2011,4,0,9,0,5,1,2,14,14,0.9725,0.0783667,258,2137,18.64
267,9/24/2011,4,0,9,0,6,0,2,14,14,0.8625,0.0783833,1776,3647,18.64
268,9/25/2011,4,0,9,0,0,0,2,14,14,0.845,0.0503792,1544,3466,18.64
269,9/26/2011,4,0,9,0,1,1,2,14,14,0.848333,0.1107,684,3946,18.64
270,9/27/2011,4,0,9,0,2,1,2,14,14,0.885417,0.118171,477,3643,18.64
271,9/28/2011,4,0,9,0,3,1,2,14,14,0.84875,0.148629,480,3427,18.64
272,9/29/2011,4,0,9,0,4,1,1,14,14,0.699167,0.172883,653,4186,18.64
273,9/30/2011,4,0,9,0,5,1,1,14,14,0.6475,0.206475,830,4372,18.64
274,10/1/2011,4,0,10,0,6,0,2,14,14,0.75375,0.292296,480,1949,18.64
275,10/2/2011,4,0,10,0,0,0,2,14,14,0.791667,0.222013,616,2302,18.64
276,10/3/2011,4,0,10,0,1,1,2,14,14,0.760833,0.0833458,330,3240,18.64
277,10/4/2011,4,0,10,0,2,1,1,14,14,0.71,0.205854,486,3970,18.64
278,10/5/2011,4,0,10,0,3,1,1,14,14,0.647917,0.17725,559,4267,18.64
279,10/6/2011,4,0,10,0,4,1,1,14,14,0.620833,0.134954,639,4126,18.64
280,10/7/2011,4,0,10,0,5,1,1,14,14,0.684167,0.0223917,949,4036,18.64
281,10/8/2011,4,0,10,0,6,0,1,14,14,0.70125,0.0454042,2235,3174,18.64
282,10/9/2011,4,0,10,0,0,0,1,14,14,0.7275,0.06345,2397,3114,18.64
283,10/10/2011,4,0,10,1,1,0,1,14,14,0.73375,0.0423042,1514,3603,18.64
284,10/11/2011,4,0,10,0,2,1,2,14,14,0.80875,0.143042,667,3896,18.64
285,10/12/2011,4,0,10,0,3,1,3,14,14,0.90625,0.24815,217,2199,18.64
286,10/13/2011,4,0,10,0,4,1,2,14,14,0.896667,0.141787,290,2623,18.64
287,10/14/2011,4,0,10,0,5,1,2,14,14,0.71625,0.223883,529,3115,18.64
288,10/15/2011,4,0,10,0,6,0,1,14,14,0.483333,0.258083,1899,3318,18.64
289,10/16/2011,4,0,10,0,0,0,1,14,14,0.486667,0.281717,1748,3293,18.64
290,10/17/2011,4,0,10,0,1,1,1,14,14,0.579583,0.175379,713,3857,18.64
291,10/18/2011,4,0,10,0,2,1,2,14,14,0.701667,0.110087,637,4111,18.64
292,10/19/2011,4,0,10,0,3,1,3,14,14,0.895217,0.243339,254,2170,18.64
293,10/20/2011,4,0,10,0,4,1,1,14,14,0.63625,0.422275,471,3724,18.64
294,10/21/2011,4,0,10,0,5,1,1,14,14,0.574167,0.221396,676,3628,18.64
295,10/22/2011,4,0,10,0,6,0,1,14,14,0.629167,0.0926667,1499,2809,18.64
296,10/23/2011,4,0,10,0,0,0,1,14,14,0.74125,0.0995125,1619,2762,18.64
297,10/24/2011,4,0,10,0,1,1,1,14,14,0.772083,0.118792,699,3488,18.64
298,10/25/2011,4,0,10,0,2,1,1,14,14,0.622917,0.166658,695,3992,18.64
299,10/26/2011,4,0,10,0,3,1,2,14,14,0.720417,0.148642,404,3490,18.64
300,10/27/2011,4,0,10,0,4,1,2,14,14,0.812917,0.197763,240,2419,18.64
301,10/28/2011,4,0,10,0,5,1,2,14,14,0.585833,0.229479,456,3291,18.64
